"family";"genus";"species";"id";"agei";"radi";"agecap";"radcap";"lencap";"l0p";"biomass";"location";"observer";"r0p";"li"
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A132";4;0,567218501;5;0,638471842;155;3,05;74,5;"Gambiers";"Fabien Morat";0,0278418561666667;137,022611245138
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A132";5;0,607665998;5;0,638471842;155;3,05;74,5;"Gambiers";"Fabien Morat";0,0278418561666667;147,223088244528
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A135";0;NA;7;0,806505976;159;3,05;76,5;"Gambiers";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A135";1;0,338940998;7;0,806505976;159;3,05;76,5;"Gambiers";"Fabien Morat";0,0278418561666667;67,5622048934086
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A135";2;0,488142204;7;0,806505976;159;3,05;76,5;"Gambiers";"Fabien Morat";0,0278418561666667;97,1451001168288
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A135";3;0,56820468;7;0,806505976;159;3,05;76,5;"Gambiers";"Fabien Morat";0,0278418561666667;112,839115089404
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A135";4;0,627887173;7;0,806505976;159;3,05;76,5;"Gambiers";"Fabien Morat";0,0278418561666667;124,471481353089
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A135";5;0,689214166;7;0,806505976;159;3,05;76,5;"Gambiers";"Fabien Morat";0,0278418561666667;136,37166553356
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A135";6;0,748290387;7;0,806505976;159;3,05;76,5;"Gambiers";"Fabien Morat";0,0278418561666667;147,78919570871
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A135";7;0,785505976;7;0,806505976;159;3,05;76,5;"Gambiers";"Fabien Morat";0,0278418561666667;154,960368419559
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";0;0,027;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";1;0,356732393;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;67,0663363450609
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";2;0,462902068;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;86,4656156428384
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";3;0,534909012;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;99,4467945453745
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";4;0,597278877;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;110,594561176275
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";5;0,644818334;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;119,038295893451
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";6;0,680956956;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;125,428739297496
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";7;0,724637615;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;133,12235645066
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";8;0,762439732;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;139,755184294098
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";9;0,797795071;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;145,938546908945
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";10;0,827341644;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;151,091751626602
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";11;0,863742194;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;157,423289437666
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";12;0,891055194;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;162,162237518408
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A166";13;0,922439904;13;0,947935002;172;3,05;88,2;"Gambiers";"Fabien Morat";0,0278418561666667;167,595534224735
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A167";0;NA;9;0,782894641;151;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A167";1;0,263136847;9;0,782894641;151;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;51,4884670177831
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A167";2;0,380136847;9;0,782894641;151;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;74,4180423712669
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A167";3;0,472136847;9;0,782894641;151;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;92,1804386413603
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A167";4;0,535136847;9;0,782894641;151;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;104,2368024594
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A167";5;0,591279522;9;0,782894641;151;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;114,917908597953
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A167";6;0,640310125;9;0,782894641;151;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;124,202292555357
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A167";7;0,681102281;9;0,782894641;151;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;131,898135619318
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A167";8;0,727102281;9;0,782894641;151;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;140,547586434985
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A167";9;0,755894641;9;0,782894641;151;3,05;73,4;"Gambiers";"Fabien Morat";0,0278418561666667;145,946746736276
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A170";0;NA;7;0,644538831;154;3,05;73,9;"Gambiers";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A170";1;0,298343761;7;0,644538831;154;3,05;73,9;"Gambiers";"Fabien Morat";0,0278418561666667;68,7182519929666
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A170";2;0,398792753;7;0,644538831;154;3,05;73,9;"Gambiers";"Fabien Morat";0,0278418561666667;93,3770660319592
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A170";3;0,472291053;7;0,644538831;154;3,05;73,9;"Gambiers";"Fabien Morat";0,0278418561666667;111,469900379771
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A170";4;0,528371352;7;0,644538831;154;3,05;73,9;"Gambiers";"Fabien Morat";0,0278418561666667;125,298696284974
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A170";5;0,564371352;7;0,644538831;154;3,05;73,9;"Gambiers";"Fabien Morat";0,0278418561666667;134,18556694469
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A170";6;0,594520979;7;0,644538831;154;3,05;73,9;"Gambiers";"Fabien Morat";0,0278418561666667;141,63362066841
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A170";7;0,622538831;7;0,644538831;154;3,05;73,9;"Gambiers";"Fabien Morat";0,0278418561666667;148,559223451085
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A172";0;NA;7;0,644538831;162;3,05;75,7;"Gambiers";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A172";1;0,314493243;7;0,644538831;162;3,05;75,7;"Gambiers";"Fabien Morat";0,0278418561666667;75,6451525187269
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A172";2;0,403307656;7;0,644538831;162;3,05;75,7;"Gambiers";"Fabien Morat";0,0278418561666667;98,706020053621
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A172";3;0,467338899;7;0,644538831;162;3,05;75,7;"Gambiers";"Fabien Morat";0,0278418561666667;115,422993908628
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A172";4;0,530370637;7;0,644538831;162;3,05;75,7;"Gambiers";"Fabien Morat";0,0278418561666667;131,942188959054
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A172";5;0,595646973;7;0,644538831;162;3,05;75,7;"Gambiers";"Fabien Morat";0,0278418561666667;149,107899241824
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A172";6;0,640054179;7;0,644538831;162;3,05;75,7;"Gambiers";"Fabien Morat";0,0278418561666667;160,816282909811
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_A172";7;0,688095828;7;0,644538831;162;3,05;75,7;"Gambiers";"Fabien Morat";0,0278418561666667;173,508605573089
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B009";0;NA;6;0,66115622;158,89;3,05;75;"Gambiers";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B009";1;0,309273342;6;0,66115622;158,89;3,05;75;"Gambiers";"Fabien Morat";0,0278418561666667;71,6710954292438
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B009";2;0,388197356;6;0,66115622;158,89;3,05;75;"Gambiers";"Fabien Morat";0,0278418561666667;91,149847279569
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B009";3;0,467045311;6;0,66115622;158,89;3,05;75;"Gambiers";"Fabien Morat";0,0278418561666667;110,664959504475
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B009";4;0,515377495;6;0,66115622;158,89;3,05;75;"Gambiers";"Fabien Morat";0,0278418561666667;122,650439882367
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B009";5;0,568528224;6;0,66115622;158,89;3,05;75;"Gambiers";"Fabien Morat";0,0278418561666667;135,848755068123
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B009";6;0,617190324;6;0,66115622;158,89;3,05;75;"Gambiers";"Fabien Morat";0,0278418561666667;147,94748727907
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B010";0;NA;3;0,611016328;170,52;3,05;78;"Gambiers";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B010";1;0,360966757;3;0,611016328;170,52;3,05;78;"Gambiers";"Fabien Morat";0,0278418561666667;96,0005297792762
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B010";2;0,493741002;3;0,611016328;170,52;3,05;78;"Gambiers";"Fabien Morat";0,0278418561666667;135,271476207395
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B010";3;0,576087829;3;0,611016328;170,52;3,05;78;"Gambiers";"Fabien Morat";0,0278418561666667;159,973766640178
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B110";0;NA;4;0,62930852;161,46;3,05;77,9;"Gambiers";"Fabien Morat";0,0278418561666667;3,05
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B110";1;0,380131556;4;0,62930852;161,46;3,05;77,9;"Gambiers";"Fabien Morat";0,0278418561666667;94,407095415268
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B110";2;0,479131556;4;0,62930852;161,46;3,05;77,9;"Gambiers";"Fabien Morat";0,0278418561666667;120,905604791145
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B110";3;0,565276782;4;0,62930852;161,46;3,05;77,9;"Gambiers";"Fabien Morat";0,0278418561666667;144,121850783668
"Pomacentridae";"Abudefduf";"Abudefduf sexfasciatus";"GAM18_B110";4;0,601290669;4;0,62930852;161,46;3,05;77,9;"Gambiers";"Fabien Morat";0,0278418561666667;153,865514231695
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";0;0,014;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;1,7
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";1;0,401479502866136;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;182,490115233682
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";2;0,45699752129099;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;190,532439269557
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";3;0,497228257324887;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;195,808454967972
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";4;0,533512305619068;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;200,235473090542
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";5;0,557413744393526;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;203,000535007046
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";6;0,577822076025485;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;205,275218333833
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";7;0,606328831548806;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;208,330039925664
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";8;0,633834195224624;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;211,152970199131
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";9;0,65553632261755;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;213,30068604705
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";10;0,681746783419368;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;215,807747814155
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";11;0,706612155701015;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;218,104296118424
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";12;0,728321059161422;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;220,048422938967
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";13;0,755540267841155;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;222,410956548404
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";14;0,782776636479441;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;224,696722311322
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";15;0,803083301847122;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;226,353091335476
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";16;0,825106064301158;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;228,105799144835
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";17;0,847197534501071;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;229,820621476963
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";18;0,868354769726337;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;231,424218574992
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";19;0,887975249632795;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;232,879058426891
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";20;0,910822949900823;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;234,535831317161
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";21;0,932879668690783;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;236,098831477058
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";22;0,95376865761373;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;237,547584469984
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";23;0,978868331928942;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;239,249678950119
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";24;0,99799408432568;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;240,519516616987
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";25;1,01664539264454;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;241,736153340674
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";26;1,03429060908402;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;242,868124458497
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_001";27;1,05683400546464;27;1,07659108114909;245,51;1,7;201,3;"Scilly";"Jean Bienvenu";0,0155714285714286;244,288368492911
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";0;NA;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;1,7
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";1;0,401615454200662;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;185,703723796417
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";2;0,456657606592671;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;193,833433953347
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";3;0,498832204210316;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;199,465641882799
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";4;0,551514434756557;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;205,907662588879
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";5;0,583719424200168;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;209,568439325785
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";6;0,611977189969202;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;212,628532322221
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";7;0,64151810848779;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;215,68976632475
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";8;0,668825201382751;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;218,404732110259
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";9;0,697202488209226;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;221,118668808154
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";10;0,721003535261973;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;223,316628007068
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";11;0,743011891230762;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;225,289620560323
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";12;0,760598873328132;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;226,8274446519
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_002";13;0,77326394459222;13;0,793880902516876;229,649;1,7;173,1;"Scilly";"Jean Bienvenu";0,0155714285714286;227,914481673226
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_003";0;0,013;14;0,753147276296385;204,517;1,7;147,4;"Scilly";"Jean Bienvenu";0,0155714285714286;1,7
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_003";1;0,321384057479601;14;0,753147276296385;204,517;1,7;147,4;"Scilly";"Jean Bienvenu";0,0155714285714286;155,757674539014
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_003";2;0,397531302397377;14;0,753147276296385;204,517;1,7;147,4;"Scilly";"Jean Bienvenu";0,0155714285714286;167,694195592459
"Acanthuridae";"Acanthurus";"Acanthurus achilles";"AC_AC_SC_03_16_003";3;0,438139206673181;14;0,753147276296385;204,517;1,7;147,4;"Scilly";"Jean Bienvenu";0,0155714285714286;173,206314629631
