"Family","Genus","Species","ID","Agei","Ri","Agecpt","Rcpt","Lcpt","L0p","R0p","Li_m","Li_sd","Li_q1","Li_q3","Biomass","Location","Observer"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",5,0.644818334,13,0.947935002,172,2.65,0.0285332965,134.370528606207,4.82269803292693,122.786916454366,141.468898984409,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",6,0.680956956,13,0.947935002,172,2.65,0.0285332965,139.213428725328,4.31401220172707,128.824853984472,145.533737901322,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",7,0.724637615,13,0.947935002,172,2.65,0.0285332965,144.918872651629,3.6705518546813,136.053997469133,150.267846685841,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",8,0.762439732,13,0.947935002,172,2.65,0.0285332965,149.735937073034,3.09095267677758,142.253200231337,154.220459953573,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",9,0.797795071,13,0.947935002,172,2.65,0.0285332965,154.147557959632,2.53160228933511,148.006097440234,157.806008942029,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",10,0.827341644,13,0.947935002,172,2.65,0.0285332965,157.769299977559,2.05238687759433,152.782076547804,160.725740177549,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",11,0.863742194,13,0.947935002,172,2.65,0.0285332965,162.154577415684,1.44841044197255,158.628095406826,164.23303719298,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",12,0.891055194,13,0.947935002,172,2.65,0.0285332965,165.392450162283,0.986038181833871,162.988339578677,166.80347744688,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",13,0.922439904,13,0.947935002,172,2.65,0.0285332965,169.06022063188,0.445675788103607,167.971905922176,169.696003979834,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",0,NA,9,0.782894641,151,2.65,0.0285332965,2.65,4.0032878868984e-15,2.64999999999999,2.65000000000001,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",1,0.263136847,9,0.782894641,151,2.65,0.0285332965,77.6222074647022,7.98587813302867,59.1710263156748,90.1867764783611,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",2,0.380136847,9,0.782894641,151,2.65,0.0285332965,97.6643268569515,6.91939730457478,81.2443994260414,108.140279355194,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",3,0.472136847,9,0.782894641,151,2.65,0.0285332965,111.497401380317,5.65925025828128,97.9260139085325,119.844346591591,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",4,0.535136847,9,0.782894641,151,2.65,0.0285332965,120.275496746047,4.65525022140176,109.073461449351,127.049871113224,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",5,0.591279522,9,0.782894641,151,2.65,0.0285332965,127.71491718892,3.68663180192956,118.791979998697,133.023584250148,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",6,0.640310125,9,0.782894641,151,2.65,0.0285332965,133.957752122996,2.79353601337396,127.15872576938,137.94084795968,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",7,0.681102281,9,0.782894641,151,2.65,0.0285332965,138.991302744262,2.02166838821959,134.053897298534,141.858189432807,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",8,0.727102281,9,0.782894641,151,2.65,0.0285332965,144.509780405685,1.12367768212439,141.751401410477,146.093309837379,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",9,0.755894641,9,0.782894641,151,2.65,0.0285332965,147.885550053275,0.548214329877154,146.536366551432,148.656349680771,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A170",0,NA,7,0.644538831,154,2.65,0.0285332965,2.65,3.61925499624387e-15,2.64999999999999,2.65000000000001,73.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A170",1,0.298343761,7,0.644538831,154,2.65,0.0285332965,95.3566297503805,7.94076157253487,77.0916695858326,107.895273273023,73.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A170",2,0.398792753,7,0.644538831,154,2.65,0.0285332965,114.440642773425,6.09581309800237,100.139060481285,123.680825574674,73.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A170",3,0.472291053,7,0.644538831,154,2.65,0.0285332965,127.133946580747,4.45597216051831,116.585264158982,133.757365048212,73.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A170",4,0.528371352,7,0.644538831,154,2.65,0.0285332965,136.269927398026,3.08569197913677,128.895789936136,140.78959407907,73.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A170",5,0.564371352,7,0.644538831,154,2.65,0.0285332965,141.922799327508,2.16163793359256,136.729490446243,145.060871522864,73.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A170",6,0.594520979,7,0.644538831,154,2.65,0.0285332965,146.543030417718,1.36439008240525,143.252609860922,148.507058942461,73.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A170",7,0.622538831,7,0.644538831,154,2.65,0.0285332965,150.75058933355,0.606179164979171,149.285717603786,151.616698042326,73.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A172",0,NA,7,0.644538831,162,2.65,0.0285332965,2.65,3.26607982098296e-15,2.64999999999999,2.65000000000001,75.7,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A172",1,0.314493243,7,0.644538831,162,2.65,0.0285332965,103.671894806218,8.4993658179553,84.1541628933543,117.228006776969,75.7,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A172",2,0.403307656,7,0.644538831,162,2.65,0.0285332965,121.161427954127,6.61607218656965,105.667942470894,131.464882110683,75.7,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A172",3,0.467338899,7,0.644538831,162,2.65,0.0285332965,132.795653888468,5.03257773762116,120.888063460663,140.458781625416,75.7,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A172",4,0.530370637,7,0.644538831,162,2.65,0.0285332965,143.627375290361,3.33641952352976,135.652948556843,148.640645492156,75.7,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A172",5,0.595646973,7,0.644538831,162,2.65,0.0285332965,154.307358842074,1.46511299742793,150.774431581148,156.465823081697,75.7,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A172",6,0.640054179,7,0.644538831,162,2.65,0.0285332965,161.304385020185,0.136422702056179,160.973673608107,161.50309304232,75.7,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A172",7,0.688095828,7,0.644538831,162,2.65,0.0285332965,168.658165668689,1.34464705284498,166.72197024275,171.934756798698,75.7,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B009",0,NA,6,0.66115622,158.89,2.65,0.0285332965,2.65,3.35107862093187e-15,2.64999999999999,2.65000000000001,75,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B009",1,0.309273342,6,0.66115622,158.89,2.65,0.0285332965,99.1834996486505,8.38186010495851,79.6839101053292,112.723975324905,75,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B009",2,0.388197356,6,0.66115622,158.89,2.65,0.0285332965,114.363782362004,6.89689098793944,98.0873494800731,125.206850928957,75,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B009",3,0.467045311,6,0.66115622,158.89,2.65,0.0285332965,128.279994992033,5.1286615652214,116.088311499621,136.158831668433,75,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B009",4,0.515377495,6,0.66115622,158.89,2.65,0.0285332965,136.327476671118,3.9396834613994,126.927892315682,142.318277376217,75,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B009",5,0.568528224,6,0.66115622,158.89,2.65,0.0285332965,144.824882478281,2.55822946995486,138.699870194395,148.665072339214,75,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B009",6,0.617190324,6,0.66115622,158.89,2.65,0.0285332965,152.322100975342,1.23577272936876,149.348223058405,154.154670872969,75,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B010",0,NA,3,0.611016328,170.52,2.65,0.0285332965,2.65,2.8167058683087e-15,2.65,2.65000000000001,78,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B010",1,0.360966757,3,0.611016328,170.52,2.65,0.0285332965,122.900343941943,8.19465913975831,104.438655596427,135.876599231995,78,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B010",2,0.493741002,3,0.611016328,170.52,2.65,0.0285332965,149.382557240007,4.11768796405477,139.807145111079,155.657398558271,78,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B010",3,0.576087829,3,0.611016328,170.52,2.65,0.0285332965,164.40283402669,1.26568724980969,161.423266741233,166.299785251727,78,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B110",0,NA,4,0.62930852,161.46,2.65,0.0285332965,2.65,3.09932200556151e-15,2.64999999999999,2.65000000000001,77.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B110",1,0.380131556,4,0.62930852,161.46,2.65,0.0285332965,118.11472969257,7.09658942493754,101.8305513222,129.313638009667,77.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B110",2,0.479131556,4,0.62930852,161.46,2.65,0.0285332965,136.409240944549,4.51253373197482,125.902730922571,143.336889669106,77.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B110",3,0.565276782,4,0.62930852,161.46,2.65,0.0285332965,151.110010433087,1.99407102434036,146.412242041615,154.122790540673,77.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_B110",4,0.601290669,4,0.62930852,161.46,2.65,0.0285332965,156.985630920235,0.883794338941366,154.893628893093,158.310203537307,77.9,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_004",0,0.027658633,1,0.25031878,51.616,2.65,0.027496136,NA,NA,NA,NA,1.7,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_004",1,0.199123078,1,0.25031878,51.616,2.65,0.027496136,NA,NA,NA,NA,1.7,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_005",0,0.02879236,1,0.227521809,50.584,2.65,0.027496136,NA,NA,NA,NA,2.1,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_005",1,0.193507106,1,0.227521809,50.584,2.65,0.027496136,NA,NA,NA,NA,2.1,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_001",2,0.260718803,2,0.286661047,64.067,2.65,0.027496136,58.3774191224051,0.636824029601224,57.0524293948862,59.5789931774428,3.9,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_002",0,0.024413111,2,0.261264719,61.315,2.65,0.027496136,2.65,1.35593320325319e-15,2.65,2.65,3.8,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_001",0,0.02912044,2,0.286661047,64.067,2.65,0.027496136,2.65,1.59586461680895e-15,2.65,2.65,3.9,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_001",1,0.219125535,2,0.286661047,64.067,2.65,0.027496136,49.127786864484,1.48222645621977,46.0843725965902,51.9734420791424,3.9,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_003",0,NA,1,0.261476863,56.104,2.65,0.027496136,NA,NA,NA,NA,3,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_003",1,0.219180291,1,0.261476863,56.104,2.65,0.027496136,NA,NA,NA,NA,3,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_002",1,0.206903359,2,0.261264719,61.315,2.65,0.027496136,48.7895009239311,1.34871850610078,46.0236748302484,51.3630037063587,3.8,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_002",2,0.237919484,2,0.261264719,61.315,2.65,0.027496136,55.9691813699529,0.632591086463804,54.6573151600736,57.1589351410882,3.8,"Moorea","Fabien Morat"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_007",4,0.502262805508052,13,0.768952585680957,191.726,1.7,0.0155714285714286,145.821036066537,6.90545485120605,129.862791969393,157.00398586468,129,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_007",5,0.530939926642278,13,0.768952585680957,191.726,1.7,0.0155714285714286,151.15353053956,6.25419112625864,136.627542597464,161.248231786885,129,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",0,0.016,14,0.644019603226971,206.451,1.7,0.0155714285714286,1.7,5.20047300276684e-15,1.69999999999999,1.70000000000001,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",1,0.304837198486132,14,0.644019603226971,206.451,1.7,0.0155714285714286,120.849049516084,10.192994445903,98.3251769985483,138.123844282489,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",2,0.35492321957436,14,0.644019603226971,206.451,1.7,0.0155714285714286,135.051175534009,9.19986534946984,114.500805101734,150.42950823741,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",3,0.396160785649263,14,0.644019603226971,206.451,1.7,0.0155714285714286,146.220488227213,8.20371182274172,127.752899115319,159.79443899458,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",4,0.434240562973925,14,0.644019603226971,206.451,1.7,0.0155714285714286,156.178387071708,7.1658653147641,139.943413370137,167.932585625318,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_007",6,0.566074089990734,13,0.768952585680957,191.726,1.7,0.0155714285714286,157.534424305117,5.42001551749997,144.889334590475,166.249043175141,129,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_007",7,0.594437112542187,13,0.768952585680957,191.726,1.7,0.0155714285714286,162.572773593609,4.72022215418516,151.523391974551,170.15214943792,129,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_007",8,0.622511925973868,13,0.768952585680957,191.726,1.7,0.0155714285714286,167.467984026388,4.00641154135045,158.06213750414,173.885232835259,129,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_007",9,0.650732284849379,13,0.768952585680957,191.726,1.7,0.0155714285714286,172.30236312509,3.26939847596414,164.609133404627,177.521525020278,129,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_007",10,0.677312151208379,13,0.768952585680957,191.726,1.7,0.0155714285714286,176.78147656207,2.5586851820221,170.748186465406,180.853439476843,129,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_007",11,0.706199371943668,13,0.768952585680957,191.726,1.7,0.0155714285714286,181.572555986507,1.76939748925311,177.389877958073,184.379132384972,129,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_007",12,0.724383196781756,13,0.768952585680957,191.726,1.7,0.0155714285714286,184.549428708349,1.26410290987862,181.555963780841,186.549210440729,129,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_007",13,0.7476480174278,13,0.768952585680957,191.726,1.7,0.0155714285714286,188.316208872473,0.608637576326151,186.871930236258,189.274591579123,129,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",14,0.644019603226971,14,0.644019603226971,206.451,1.7,0.0155714285714286,206.451,6.8001166337715e-14,206.451,206.451,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_009",0,0.015,2,0.485565711590044,188.684,1.7,0.0155714285714286,1.7,5.18010153018357e-15,1.69999999999999,1.70000000000001,116,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_009",1,0.411777450980125,2,0.485565711590044,188.684,1.7,0.0155714285714286,167.092367024417,3.48916890265553,159.043242734693,172.662570901809,116,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_009",2,0.452171789162282,2,0.485565711590044,188.684,1.7,0.0155714285714286,179.048946309686,1.63080731075658,175.261518056958,181.626320177089,116,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_010",0,0.01,4,0.525556771999674,192.806,1.7,0.0155714285714286,1.7,3.94037048119155e-15,1.7,1.70000000000001,106.8,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",5,0.462938672214164,14,0.644019603226971,206.451,1.7,0.0155714285714286,163.483406041032,6.31898793783181,149.103464871784,173.784974971187,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",6,0.481637882937046,14,0.644019603226971,206.451,1.7,0.0155714285714286,168.158983852666,5.74027539737646,155.060281196667,177.481246045167,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",7,0.497985780641197,14,0.644019603226971,206.451,1.7,0.0155714285714286,172.195552003786,5.21819905207355,160.260835807611,180.642390660899,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",8,0.521044483256615,14,0.644019603226971,206.451,1.7,0.0155714285714286,177.812491404321,4.45783423922371,167.585212594626,184.996460909917,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",9,0.54399731939121,14,0.644019603226971,206.451,1.7,0.0155714285714286,183.319523277611,3.67489832255642,174.86370181539,189.216504129021,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",10,0.565233472953917,14,0.644019603226971,206.451,1.7,0.0155714285714286,188.344238551904,2.92891634067809,181.58739298634,193.026222880981,141.3,"Scilly","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_008",11,0.58253860618222,14,0.644019603226971,206.451,1.7,0.0155714285714286,192.391315770187,2.30657914067277,187.059332009739,196.067308767915,141.3,"Scilly","Jean Bienvenu"
